iter	MultiClass
0	2.752661978
1	2.733390994
2	2.715918351
3	2.698345904
4	2.679062064
5	2.669240861
6	2.655451433
7	2.634225638
8	2.615233941
9	2.59438151
10	2.576968536
11	2.562007179
12	2.542596166
13	2.525620671
14	2.510179449
15	2.492110253
16	2.475691699
17	2.458586245
18	2.445014332
19	2.428506737
20	2.413794861
21	2.39374021
22	2.381465768
23	2.36819813
24	2.352312945
25	2.338158876
26	2.326638939
27	2.310674395
28	2.298414356
29	2.281053217
30	2.26680913
31	2.252422657
32	2.237415907
33	2.221532591
34	2.204158692
35	2.187226907
36	2.174305327
37	2.160396934
38	2.144882086
39	2.13369112
40	2.116679809
41	2.102945441
42	2.089989597
43	2.076440223
44	2.062626588
45	2.048037809
46	2.035261666
47	2.022841519
48	2.007124824
49	1.992528311
50	1.980531611
51	1.966726223
52	1.952210788
53	1.935139734
54	1.921702708
55	1.910784435
56	1.896466255
57	1.885113713
58	1.87161213
59	1.856256921
60	1.843443143
61	1.831163567
62	1.821111464
63	1.810087922
64	1.801354028
65	1.789085064
66	1.783072924
67	1.772399584
68	1.760612009
69	1.748423415
70	1.737577295
71	1.72442976
72	1.713709731
73	1.703136968
74	1.690836953
75	1.680354368
76	1.670140711
77	1.658990867
78	1.647036181
79	1.635821452
80	1.624698417
81	1.611686481
82	1.601746287
83	1.589896691
84	1.580331698
85	1.569274064
86	1.557091552
87	1.546913241
88	1.540478227
89	1.529487919
90	1.520481915
91	1.513834229
92	1.504828861
93	1.498435045
94	1.488202922
95	1.477554598
96	1.466179265
97	1.458064163
98	1.449175872
99	1.441485067
100	1.43006644
101	1.426489145
102	1.417165718
103	1.405643418
104	1.395852708
105	1.39095869
106	1.38469003
107	1.374504044
108	1.365282727
109	1.362180121
110	1.354516349
111	1.351600742
112	1.342037112
113	1.336275168
114	1.32895543
115	1.320772765
116	1.315337471
117	1.309160841
118	1.303245953
119	1.295303996
120	1.287223049
121	1.282121605
122	1.275519053
123	1.266340338
124	1.259157192
125	1.252029826
126	1.246258465
127	1.23902211
128	1.233566486
129	1.225305156
130	1.219250691
131	1.211456278
132	1.20769969
133	1.204141867
134	1.196845645
135	1.192143583
136	1.184160188
137	1.177794686
138	1.172219557
139	1.164028202
140	1.159288887
141	1.157197593
142	1.149020326
143	1.141211526
144	1.135104298
145	1.126246724
146	1.118721571
147	1.114822056
148	1.110208182
149	1.104692867
150	1.099232548
151	1.091765682
152	1.084954063
153	1.077998138
154	1.071375266
155	1.066251218
156	1.059091175
157	1.055327319
158	1.051335494
159	1.043887834
160	1.040405792
161	1.03583955
162	1.03345413
163	1.027739945
164	1.021620027
165	1.017104736
166	1.012936694
167	1.01059424
168	1.00764675
169	1.002832872
170	0.9995537469
171	0.9941560898
172	0.9898391269
173	0.986013311
174	0.9801205025
175	0.9759042688
176	0.970377481
177	0.965290165
178	0.9624317025
179	0.9568874422
180	0.9528085258
181	0.9488409062
182	0.9466853798
183	0.9427731865
184	0.9388917247
185	0.9340629072
186	0.9273156952
187	0.9233188803
188	0.9207393045
189	0.9166516231
190	0.9107718442
191	0.9043967303
192	0.8984666671
193	0.8949639279
194	0.8895091373
195	0.8862668484
196	0.8821470094
197	0.8771283731
198	0.8725207572
199	0.8705714801
200	0.8645730791
201	0.8628825335
202	0.858643016
203	0.8535241779
204	0.8492193134
205	0.843564431
206	0.8394474605
207	0.8351547848
208	0.8287908461
209	0.8257480032
210	0.820265699
211	0.8162217436
212	0.8122024206
213	0.8087643642
214	0.8041566228
215	0.8012074429
216	0.7990468565
217	0.7937370859
218	0.78887559
219	0.7865855172
220	0.7858069373
221	0.7832163668
222	0.780392827
223	0.7759308133
224	0.7730292545
225	0.7675718668
226	0.7632730572
227	0.7597584871
228	0.7544583139
229	0.7503610907
230	0.7487625637
231	0.7456024114
232	0.7421320913
233	0.7406496203
234	0.7383540104
235	0.7371866488
236	0.7349433451
237	0.7311191736
238	0.7278338769
239	0.7266796826
240	0.7232012081
241	0.7188620222
242	0.7163926381
243	0.713115329
244	0.7092227856
245	0.7059548448
246	0.7025253027
247	0.6989968776
248	0.6967430757
249	0.6929943804
250	0.6901987127
251	0.6876308729
252	0.684124035
253	0.6829702751
254	0.680878179
255	0.6787214787
256	0.6752403684
257	0.6735292915
258	0.6711681272
259	0.6675200861
260	0.6635489844
261	0.6609475033
262	0.6576996637
263	0.6552938469
264	0.6529201215
265	0.6502501056
266	0.6480781414
267	0.64737281
268	0.6440891427
269	0.6428668148
270	0.640024071
271	0.6378783497
272	0.6353502525
273	0.6329397558
274	0.629904902
275	0.6271586109
276	0.6252407215
277	0.6225919073
278	0.6209918193
279	0.6178647071
280	0.6160851113
281	0.6139057578
282	0.6125107243
283	0.6111049894
284	0.6084712334
285	0.6049716145
286	0.6013035707
287	0.5983026442
288	0.5958917636
