iter	Passed	Remaining
0	246	245818
1	360	179914
2	482	160511
3	713	177735
4	988	196701
5	1236	204787
6	1489	211338
7	1657	205501
8	1833	201933
9	2040	202019
10	2256	202867
11	2505	206280
12	2724	206836
13	2910	204998
14	3133	205785
15	3347	205886
16	3570	206475
17	3822	208556
18	4043	208751
19	4275	209497
20	4523	210882
21	4706	209228
22	4843	205754
23	4989	202900
24	5132	200183
25	5257	196941
26	5390	194243
27	5509	191273
28	5636	188731
29	5765	186416
30	5899	184407
31	6014	181924
32	6137	179850
33	6444	183102
34	6613	182330
35	6752	180819
36	6930	180369
37	7068	178950
38	7200	177420
39	7369	176866
40	7507	175603
41	7636	174192
42	7758	172667
43	7886	171348
44	8013	170070
45	8151	169058
46	8288	168053
47	8442	167443
48	8619	167287
49	8792	167065
50	8954	166625
51	9140	166635
52	9307	166312
53	9467	165859
54	9621	165309
55	9776	164809
56	9953	164666
57	10109	164197
58	10259	163631
59	10405	163011
60	10547	162366
61	10696	161821
62	10867	161634
63	11060	161755
64	11255	161901
65	11451	162060
66	11623	161868
67	11816	161952
68	12038	162437
69	12307	163513
70	12625	165195
71	13037	168041
72	13357	169627
73	13683	171228
74	13907	171525
75	14140	171915
76	14421	172871
77	14649	173164
78	15040	175347
79	15390	176988
80	15837	179681
81	16209	181472
82	16501	182306
83	16691	182019
84	16920	182140
85	17091	181644
86	17360	182188
87	17525	181628
88	17716	181347
89	17875	180743
90	18040	180204
91	18218	179810
92	18381	179273
93	18546	178761
94	18726	178392
95	18906	178040
96	19095	177767
97	19250	177185
98	19400	176562
99	19561	176057
100	19711	175454
101	19873	174968
102	20007	174238
103	20161	173701
104	20325	173250
105	20468	172630
106	20618	172080
107	20775	171589
108	20922	171027
109	21071	170485
110	21231	170045
111	21381	169525
112	21532	169020
113	21694	168608
114	21843	168096
115	22010	167737
116	22168	167302
117	22316	166803
118	22491	166511
119	22660	166173
120	22839	165915
121	22988	165439
122	23152	165075
123	23328	164805
124	23508	164561
125	23674	164219
126	23841	163887
127	24005	163540
128	24154	163086
129	24314	162722
130	24468	162317
131	24614	161860
132	24765	161440
133	24920	161052
134	25089	160760
135	25247	160394
136	25407	160051
137	25581	159791
138	25746	159478
139	25907	159147
140	26079	158879
141	26265	158701
142	26463	158598
143	26637	158344
144	26882	158513
145	27118	158627
146	27391	158943
147	27657	159219
148	27869	159176
149	28095	159209
150	28306	159155
151	28510	159059
152	28707	158924
153	28882	158667
154	29058	158416
155	29245	158227
156	29434	158048
157	29609	157791
158	29788	157559
159	29964	157312
160	30143	157085
161	30311	156796
162	30493	156583
163	30702	156507
164	30952	156636
165	31179	156649
166	31400	156627
167	31585	156422
168	31746	156101
169	31917	155832
170	32081	155528
171	32256	155281
172	32425	155004
173	32594	154731
174	32785	154561
175	32963	154328
176	33247	154591
177	33484	154630
178	33742	154763
179	33982	154811
180	34263	155036
181	34461	154886
182	34663	154755
183	34857	154583
184	35048	154403
185	35273	154369
186	35503	154354
187	35818	154704
188	36073	154789
189	36297	154740
190	36466	154457
191	36646	154218
192	36843	154053
193	37051	153934
194	37293	153956
195	37504	153846
196	37769	153955
197	37989	153875
198	38178	153673
199	38363	153453
200	38574	153339
201	38753	153094
202	38957	152951
203	39166	152824
204	39393	152769
205	39639	152785
206	39845	152643
207	40044	152478
208	40273	152421
209	40509	152393
210	40707	152217
211	40924	152116
212	41128	151962
213	41328	151795
214	41509	151558
215	41690	151321
216	41866	151067
217	42043	150817
218	42212	150538
219	42390	150292
220	42580	150090
221	42759	149852
222	42935	149600
223	43110	149346
224	43303	149157
225	43490	148944
226	43698	148806
227	43885	148595
228	44098	148471
229	44277	148232
230	44445	147957
231	44621	147714
232	44790	147442
233	44970	147212
234	45139	146944
235	45303	146660
236	45476	146408
237	45651	146161
238	45812	145872
239	45995	145651
240	46194	145485
241	46379	145270
242	46554	145027
243	46737	144809
244	46932	144627
245	47119	144424
246	47306	144216
247	47485	143987
248	47652	143724
249	47825	143477
250	47987	143198
251	48145	142908
252	48303	142619
253	48466	142345
254	48628	142070
255	48784	141778
256	48959	141543
257	49135	141312
258	49311	141079
259	49533	140979
260	49746	140853
261	50055	140995
262	50387	141199
263	50784	141581
264	51082	141682
265	51380	141778
266	51627	141733
267	51808	141505
268	52016	141354
269	52332	141490
270	52562	141394
271	52835	141411
272	53168	141587
273	53376	141427
274	53680	141522
275	53898	141386
276	54128	141280
277	54314	141060
278	54504	140852
279	54693	140640
280	54877	140416
281	55046	140154
282	55238	139951
283	55488	139894
284	55752	139869
285	56147	140173
286	56554	140500
287	57014	140952
288	57318	141015
289	57567	140940
290	57951	141195
291	58217	141156
292	58450	141038
293	58680	140913
294	58898	140757
295	59296	141028
296	59757	141445
297	60200	141813
298	60613	142106
299	60855	141997
300	61224	142178
301	61665	142524
302	61976	142566
303	62274	142575
304	62560	142555
305	62886	142625
306	63229	142730
307	63699	143116
308	63974	143061
309	64189	142873
310	64397	142669
311	64599	142450
312	64821	142276
313	65028	142068
314	65193	141768
315	65369	141495
316	65542	141216
317	65736	140982
318	65962	140817
319	66162	140595
320	66399	140452
321	66593	140219
322	66793	139998
323	66980	139750
324	67155	139477
325	67341	139227
326	67582	139090
327	67770	138846
328	67955	138596
329	68130	138324
330	68328	138101
331	68526	137878
332	68707	137620
333	68877	137343
334	69047	137064
335	69223	136798
336	69385	136506
337	69545	136209
338	69699	135904
339	69881	135652
340	70044	135365
341	70233	135126
342	70406	134860
343	70576	134587
344	70759	134340
345	70930	134071
346	71098	133795
347	71274	133538
348	71457	133292
349	71635	133037
350	71820	132796
351	71990	132527
352	72148	132237
353	72382	132087
354	72626	131954
355	72810	131714
356	72989	131463
357	73145	131171
358	73314	130903
359	73523	130708
360	73722	130495
361	73944	130321
362	74136	130096
363	74313	129843
364	74517	129640
365	74694	129388
366	74978	129322
367	75154	129070
368	75378	128899
369	75780	129032
370	76209	129207
371	76439	129042
372	76669	128878
373	76869	128664
374	77060	128434
375	77248	128199
376	77490	128054
377	77688	127836
378	77855	127567
379	78012	127283
380	78159	126983
381	78324	126713
382	78468	126410
383	78624	126126
384	78773	125833
385	78943	125572
386	79104	125299
387	79255	125011
388	79413	124734
389	79592	124490
390	79756	124224
391	79913	123948
392	80054	123647
393	80200	123353
394	80361	123085
395	80515	122806
396	80662	122516
397	80830	122261
398	80908	121869
399	81078	121617
400	81238	121351
401	81429	121131
402	81613	120901
403	81767	120626
404	81936	120376
405	82081	120089
406	82247	119834
407	82405	119568
408	82556	119292
409	82714	119027
410	82906	118812
411	83116	118622
412	83289	118379
413	83537	118243
414	83733	118033
415	83901	117785
416	84076	117546
417	84245	117299
418	84431	117075
419	84616	116851
420	84792	116615
421	84968	116378
422	85145	116144
423	85390	116002
424	85615	115832
425	85841	115664
426	86083	115517
427	86291	115323
428	86476	115100
429	86651	114862
430	86851	114659
431	87018	114413
432	87179	114158
433	87367	113940
434	87584	113758
435	87859	113653
436	88203	113635
437	88544	113611
438	88902	113609
439	89244	113584
440	89794	113820
441	90039	113669
442	90247	113471
443	90457	113275
444	90660	113070
445	90873	112878
446	91092	112694
447	91431	112656
448	91983	112879
449	92400	112934
450	92665	112801
451	92864	112587
452	93088	112405
453	93289	112194
454	93466	111954
455	93651	111724
456	93849	111510
457	94057	111308
458	94311	111159
459	94570	111017
460	94781	110818
461	95012	110642
462	95196	110411
463	95405	110209
464	95629	110025
465	95823	109806
466	96067	109644
467	96256	109420
468	96445	109195
469	96625	108960
470	96844	108770
471	97052	108566
472	97299	108408
473	97693	108411
474	97906	108212
475	98114	108008
476	98340	107824
477	98718	107805
478	98916	107590
479	99086	107343
480	99267	107109
481	99438	106865
482	99596	106607
483	99758	106353
484	99932	106114
485	100094	105860
486	100263	105616
487	100450	105390
488	100612	105139
489	100764	104877
490	100925	104625
491	101078	104365
492	101241	104116
493	101403	103867
494	101585	103637
495	101769	103411
496	101961	103192
497	102126	102947
498	102282	102692
499	102442	102442
500	102594	102184
501	102758	101939
502	102931	101703
503	103097	101461
504	103254	101210
505	103432	100979
506	103591	100730
507	103740	100473
508	103899	100225
509	104072	99991
510	104237	99749
511	104410	99516
512	104575	99275
513	104735	99030
514	104886	98776
515	105047	98532
516	105193	98275
517	105357	98035
518	105504	97779
519	105665	97537
520	105826	97295
521	105987	97053
522	106162	96825
523	106359	96616
524	106554	96406
525	106740	96188
