ResponseId,gender,age,education,race,employment,income
r11,1,34,4,2,5,1
r12,1,36,5,1,7,7
r13,2,48,5,1,6,11
r14,2,41,4,1,5,5
r15,2,48,2,1,1,9
r16,2,32,4,4,5,8
r17,2,35,5,1,6,4
r18,2,28,4,3,7,5
r19,2,43,2,1,7,11
r20,2,44,4,4,4,10
r21,1,28,4,4,7,6
r23,2,43,6,1,7,11
r24,1,48,2,1,7,7
r26,2,33,5,1,8,12
r27,1,40,3,1,6,1
r29,1,40,5,1,7,11
r32,1,31,4,1,1,11
r33,1,35,2,1,7,5
r34,2,25,2,1,4,6
r35,1,43,3,1,7,10
r36,2,58,3,1,1,1
r37,1,32,4,1,7,7
r38,2,36,3,1,4,9
r41,2,66,5,1,7,8
r42,2,72,2,1,3,5
r43,1,38,3,1,7,6
r44,2,30,5,1,6,5
r45,1,50,4,2,7,4
r47,1,33,5,1,7,11
r48,2,60,2,1,3,3
r49,1,26,4,1,7,9
r52,2,42,2,1,1,3
r53,1,32,4,1,7,11
r54,2,33,2,1,1,1
r55,1,42,4,1,5,4
r56,2,58,4,1,8,1
r57,1,33,4,1,7,9
r58,1,43,2,1,5,3
r60,1,27,3,2,7,6
r61,1,41,5,1,7,11
r62,2,29,4,1,1,1
r63,1,43,2,1,7,5
r65,1,23,6,2,6,11
r66,2,42,4,1,4,12
r67,2,30,5,1,7,11
r68,1,42,4,1,5,4
r69,2,35,4,2,7,10
r70,1,44,4,1,7,11
r71,1,64,4,1,6,2
r72,2,33,4,1,7,7
r73,1,43,4,1,7,7
r74,1,24,4,1,7,6
r75,1,51,4,6,3,4
r76,1,27,4,1,7,9
r77,2,43,2,1,6,6
r79,2,42,3,6,7,7
r80,1,32,4,1,7,7
r81,1,29,5,1,7,8
r82,1,37,5,1,7,12
r83,2,32,2,1,4,5
r84,2,26,2,3,2,3
r85,1,27,3,2,7,4
r86,1,27,5,2,5,2
r87,2,65,4,1,3,3
r88,2,72,3,1,3,3
r89,2,55,4,1,7,12
r90,1,36,4,1,7,12
r91,1,38,5,1,2,12
r92,1,56,5,2,7,9
r93,2,28,2,1,1,2
r95,2,24,4,1,7,6
r96,1,39,4,2,7,6
r97,1,56,4,1,7,10
r98,2,35,2,2,1,4
r100,2,40,3,0,0,11
r101,2,56,4,1,7,12
r102,2,40,4,1,1,7
r103,1,42,2,2,5,8
r104,2,67,2,1,3,5
r105,1,32,4,1,7,12
r106,1,23,4,2,6,11
r107,2,21,2,1,2,9
r108,2,34,4,4,7,12
r109,2,30,3,1,4,8
r111,2,36,4,1,7,10
r112,2,31,5,2,7,12
r113,2,50,2,6,5,8
r114,2,42,4,2,7,11
r116,2,47,2,2,7,7
r118,1,59,5,2,7,11
r119,1,40,4,1,7,12
r120,1,51,4,2,7,8
r121,1,51,4,2,7,8
r122,1,40,4,1,5,8
r123,2,33,4,2,7,5
r124,1,60,4,1,7,12
r125,1,47,4,6,5,2
r126,2,34,5,1,7,10
r127,1,34,4,1,7,5
r128,2,27,4,2,1,1
r129,2,30,2,1,6,5
r131,2,55,5,2,9,11
r133,1,43,5,2,7,12
r134,2,43,5,2,7,8
